id,city,state_id,state_name,county_name,latitude,longitude,population,density,timezone
1840015094,Palm Bay,FL,Florida,Brevard,27.9861,-80.6628,489912,656,America/New_York
1840000572,Toledo,OH,Ohio,Lucas,41.6639,-83.5822,488672,1322,America/New_York
1840020553,Murrieta,CA,California,Riverside,33.5719,-117.1909,483681,1302,America/Los_Angeles
1840001686,Wichita,KS,Kansas,Sedgwick,37.6897,-97.3442,483057,938,America/Chicago
1840007069,Des Moines,IA,Iowa,Polk,41.5725,-93.6104,481222,949,America/Chicago
1840034032,Staten Island,NY,New York,Richmond,40.5834,-74.1496,476015,3155,America/New_York
1840020490,Long Beach,CA,California,Los Angeles,33.8059,-118.161,469450,3603,America/Los_Angeles
1840013501,Greenville,SC,South Carolina,Greenville,34.8363,-82.365,467894,907,America/New_York
1840015509,Little Rock,AR,Arkansas,Pulaski,34.7255,-92.3581,442699,645,America/Chicago
1840001288,Harrisburg,PA,Pennsylvania,Dauphin,40.2752,-76.8843,441580,2336,America/New_York
1840019390,Denton,TX,Texas,Denton,33.2176,-97.1421,440146,548,America/Chicago
1840002915,Madison,WI,Wisconsin,Dane,43.0808,-89.3922,439553,1279,America/Chicago
1840020121,Reno,NV,Nevada,Washoe,39.5497,-119.8483,433271,884,America/Los_Angeles
1840015119,Port Saint Lucie,FL,Florida,St. Lucie,27.2796,-80.3883,432589,614,America/New_York
